OBJECTID,Name,Acres,Neighborhood_ID,SqMiles,ShapeSTArea,ShapeSTLength
1,Roslindale,1605.5682375,15,2.51,69938272.9255705,53563.9125970566
2,Jamaica Plain,2519.24539377,11,3.94,109737890.75434,56349.9371614102
3,Mission Hill,350.8535636,13,0.55,15283120.0150255,17918.7241134584
4,Longwood,188.61194672,28,0.29,8215903.53654223,11908.7571475466
5,Bay Village,26.53983916,33,0.04,1156070.76586844,4650.6354932959
6,Leather District,15.63990811,27,0.02,681271.669913096,3237.14053698246
7,Chinatown,76.32440999,26,0.12,3324678.01846081,9736.5904126178
8,North End,126.91043901,14,0.2,5527506.01501498,16177.826815423
9,Roxbury,2108.46907176,16,3.29,91844545.9748157,49488.8004847311
10,South End,471.53535561,32,0.74,20539997.9493577,17912.3335694887
11,Back Bay,399.31441106,2,0.62,17394066.0316313,19455.6711464596
12,East Boston,3012.05959319,8,4.71,131204789.903467,119815.819136368
13,Charlestown,871.54122286,4,1.36,37964183.7742364,57509.6886449923
14,West End,190.4907324,31,0.3,8297743.11845037,17728.5900267025
15,Beacon Hill,200.15690397,30,0.31,8718799.86514148,14303.8290167189
16,Downtown,397.47284644,7,0.62,17313847.7979087,34612.8044410516
17,Fenway,560.61846143,34,0.88,24420442.6685348,24620.8764522268
18,Brighton,1840.40859627,25,2.88,80167877.560494,48787.519651516
19,West Roxbury,3516.42178618,19,5.49,153174723.374466,66067.4198381819
20,Hyde Park,2927.22116773,10,4.57,127509243.258028,66861.2449554267
21,Mattapan,1352.09835365,12,2.11,58897168.6984939,42005.7737070194
22,Dorchester,4662.8794573,6,7.29,203114216.989129,104344.034004845
23,South Boston Waterfront,621.84352373,29,0.97,27087395.3915588,38391.3529052401
24,South Boston,1439.88880731,17,2.25,62721306.1439171,64998.4202829525
25,Allston,998.53447869,24,1.56,43495988.0035056,37859.0912416675
26,Harbor Islands,824.88865794,22,1.29,35932006.098031,92482.1835683368
